NombreEquipes = 2
JoueursParEquipe = 1
ProfondeurIA = 10
NombreParties = 100

Equipe,Joueur,Strategie,Heuristique,VictoiresTotal,%Victoire
Equipe_1,Equipe_1_1,AlphaBetaStrategie,FreeSpaceHeuristic,72,72,00%
Equipe_2,Equipe_2_1,AlphaBetaStrategie,FreeSpaceHeuristic,26,26,00%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
100,Match Nul,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Match Nul,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_2,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
100,Equipe_1,1,1.0,158,42,23,94
======================================================================
