Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 100

Parties,T1,T2,Conf %
NbParties,MnS|FSH,ABS|VoH,
100,35.0%,26.0%,±9.35%
100,29.0%,27.0%,±8.89%
11,27.3%,18.2%,±26.32%
Total,31.8%,26.1%,±6.28%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Equipe_2,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Equipe_1,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
400,Match Nul,1,1.0,3956.29,2.29
