Nombre d'Equipes = 3
Joueurs Par Equipe = 2
Profondeur IA = 20
Nombre Parties = 20

Parties,T1,T2,T3,Conf %
NbParties,MaxN|FSH,MnS|FSH,MnS|TOC,
20,30.0%,60.0%,0.0%,±21.47%
100,49.0%,33.0%,0.0%,±9.80%
20,30.0%,50.0%,0.0%,±21.91%
1000,40.0%,41.6%,0.0%,±3.05%
2,50.0%,50.0%,0.0%,±69.30%
Total,40.5%,41.3%,0.0%,±2.86%

TailleGrille,EquipeGagnante,Point,Note,TempsMoyen,NbMoyenTours
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_2,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
900,Match Nul,1,1.0,36076.49,3.59
900,Equipe_1,1,1.0,36076.49,3.59
